id,IV_condition,DV_order_at_all,DV_order_large,DV_ounces_consumed,DV_calories_consumed,number_of_refills,flavor,sex,age,ethnicity,comprehension_check,failed_comprehension_check
1,2,1,0,7.93,74.34375, ,0,1,54,4,2,0
2,2,1,0,16,96, ,1,1,25,3,1,1
3,2,0, ,0,0, , ,2,38,1,2,0
4,2,1,0,5.23,49.03125, ,0, , , ,2,0
5,2,0, ,0,0, , ,2,26,5,2,0
6,2,0, ,0,0, , ,1,25,7,6,1
7,2,0, ,0,0, , ,2,22,4,2,0
8,2,0, ,0,0, , ,1,25,1,2,0
9,2,0, ,0,0, , ,2,24,3,2,0
10,2,0, ,0,0, , , , , ,2,0
11,2,0, ,0,0, , ,1,23,1,2,0
12,2,1,0,16,150, ,0,1,54,4,2,0
13,2,1,0,15.83,94.98, ,1, , , ,2,0
14,2,0, ,0,0, , ,2,32,4,6,1
15,2,1,0,11.62,108.9375, ,0,1,52,1,1,1
16,2,1,0,7.82,73.3125, ,0, , , ,2,0
17,2,1,0,16,96, ,1,2,51,4,2,0
18,2,1,0,8.69,52.14, ,1,1,54, ,1,1
19,2,0, ,0,0, , , , , , ,0
20,2,0, ,0,0, , ,2,26,3,6,1
21,2,1,1,29.34,275.0625,1,0,1,56,3,2,0
22,2,1,0,16,150, ,0,2,23,4,2,0
23,2,0, ,0,0, , ,1,22,4,2,0
24,2,1,0,3.65,21.9, ,1, , , ,2,0
25,2,1,0,16,96, ,1,2,60,4,2,0
26,2,1,1,32,300,1,0,1,18,4,2,0
27,2,1,1,27.97,262.21875,1,0, , , ,2,0
28,2,0, ,0,0, , ,1,28,5,2,0
29,2,1,1,32,192,1,1,2,22,4,2,0
30,2,1,0,15.66,146.8125, ,0,2,40,1,1,1
31,2,1,1,11.81,110.71875,0,0, , , ,2,0
32,2,0, ,0,0, , ,2,51,4,2,0
33,1,0, ,0,0, , , , , ,1,0
34,1,1,0,16,150, ,0,2,59,4,2,0
35,1,1,1,20,120, ,1,1,30,4,1,0
36,1,1,0,16,96, ,1,1,25,3,1,0
37,1,0, ,0,0, , ,2,43,4,1,0
38,1,1,0,16,150, ,0,2,59,4,1,0
39,1,0, ,0,0, , ,2,25,4,4,1
40,1,1,0,16,96, ,1,1,54,4,6,1
41,1,0, ,0,0, , ,2,21,4,6,1
42,1,1,1,20,120, ,1,1,27,1,4,1
43,1,1,0,14.47,86.82, ,1,2,31,4,1,0
44,1,0, ,0,0, , ,2,35,4,1,0
45,1,1,0,14.73,138.09375, ,0,1,36,4,2,1
46,1,1,1,13.05,122.34375, ,0,1,23,4,1,0
47,1,1,1,20,187.5, ,0, , , ,1,0
48,1,0, ,0,0, , , , , ,1,0
49,1,0, ,0,0, , ,2,46,1,1,0
50,1,0, ,0,0, , , , , ,1,0
51,1,1,0,16,150, ,0, , , ,1,0
52,1,1,0,11.42,107.0625, ,0,1,18,3,1,0
53,1,1,0,16,150, ,0, , , ,5,1
54,1,1,0,16,150, ,0,1,31,4,1,0
55,1,1,0,16,96, ,1,1,54,3,1,0
56,1,0, ,0,0, , , , , ,1,0
57,1,1,0,16,150, ,0,2,33,4,1,0
58,1,0, ,0,0, , ,2,31,1,1,0
59,1,1,1,19.66,117.96, ,1,1,56,4,1,0
60,1,0, ,0,0, , ,1,39,4,1,0
61,1,1,0,16,150, ,0,2,40,1,1,0
62,1,0, ,0,0, , ,2,29,4,1,0
63,1,1,0,16,96, ,1,1,54,4,1,0
64,1,0, ,0,0, , ,1,56,4,1,0
65,1,0, ,0,0, , , , , ,1,0
66,1,0, ,0,0, , ,2,35,1,1,0
67,3,0, ,0,0, , , , , ,3,0
68,3,1,0,16,96, ,1,2,24,3,1,1
69,3,1,1,32,192,1,1,1,40,4,3,0
70,3,0, ,0,0, , ,2,26,3,3,0
71,3,0, ,0,0, , ,1,25,1,1,1
72,3,1,0,16,150, ,0,1,31,4,3,0
73,3,1,0,12.81,120.09375, ,0,2,50,1,1,1
74,3,1,1,26.79,251.15625,1,0,1,21,1,3,0
75,3,1,0,16,96, ,1,2,31,4,3,0
76,3,0, ,0,0, , ,1,25,7,6,1
77,3,0, ,0,0, , ,2,30,5,3,0
78,3,0, ,0,0, , ,1,24,3,3,0
79,3,1,0,13.08,122.625, ,0, , , ,3,0
80,3,1,0,16,96, ,1,1,40,4,3,0
81,3,1,0,6.4,60, ,0,1,38,4,2,1
82,3,1,0,16,96, ,1,2,51,4,3,0
83,3,0, ,0,0, , ,2,26,3,3,0
84,3,0, ,0,0, , ,2,19,4,3,0
85,3,0, ,0,0, , , , , ,3,0
86,3,0, ,0,0, , ,1,37,4,2,0
87,3,1,0,5.56,52.125, ,0, , , ,3,0
88,3,0, ,0,0, , ,1,66,3,3,0
89,3,0, ,0,0, , ,1,25,1,3,0
90,3,1,1,16,150,0,0,1,35,4,3,0
91,3,1,0,16,96, ,1,1,54,1,1,1
92,3,1,0,16,96, ,1,1,28,5,3,0
93,3,1,1,6.83,40.98,0,1,1,32,4,3,0
94,3,0, ,0,0, , ,2,20,6,3,0
95,3,0, ,0,0, , ,1,60,4,3,0
96,3,0, ,0,0, , ,1,22,4,3,0
97,3,0, ,0,0, , ,2,58,4,3,0
98,3,0, ,0,0, , ,1,61,4,3,0
99,2,0, ,0,0, , ,2,28,1,2,0
100,2,1,1,48,288,2,1,2,43,4,2,0
101,2,0, ,0,0, , ,2,26,3,2,0
102,2,1,1,48,450,2,0,1,31,1,2,0
103,2,1,1,15.36,144,0,0,1,61,4,2,0
104,2,0, ,0,0, , ,1,25,6,2,0
105,2,0, ,0,0, , ,2,34,4,2,0
106,2,1,1,32,192,1,1,2,56,3,2,0
107,2,1,1,21.36,200.25,1,0,2,27,4,2,0
108,2,1,0,16,96, ,1, , , ,1,1
109,2,0, ,0,0, , ,2,35,4,2,0
110,2,1,1,32,300,1,0,1,31,4,2,0
111,2,1,1,48,288,2,1,2,43,4,2,0
112,2,1,0,10.58,63.48, ,1,1,54,1,1,1
113,2,0, ,0,0, , ,2,59,4,6,1
114,2,0, ,0,0, , ,2,59,3,6,1
115,2,0, ,0,0, , ,1,25,3,6,1
116,2,0, ,0,0, , ,1,60,1,2,0
117,2,1,1,27.77,260.34,1,0,1,58,4,2,0
118,2,1,1,30.3,181.8,1,1,1,24,3,2,0
119,2,1,0,16,96, ,1,2,26,3,2,0
120,2,1,1,32,300,1,0,1,55,1,2,0
121,2,1,1,27.28,163.68,1,1,1,24,3,2,0
122,2,1,1,28.96,173.76,1,1,1,22,4,2,0
123,2,1,0,9.95,59.7, ,1,2,22,3,2,0
124,2,1,1,16,150,0,0,2,54,4,2,0
125,2,1,1,16,150,0,0,1,30,1,2,0
126,2,1,0,16,150, ,0,1,27,3,2,0
127,2,1,0,16,96, ,1,1,46,3,2,0
128,2,1,0,16,150, ,0,2,25,3,2,0
129,2,0, ,0,0, , ,2,31,4,2,0
130,2,0, ,0,0, , ,2,31,4,2,0
131,1,1,0,16,96, ,1,2,34,4,1,0
132,1,1,0,13.93,130.59375, ,0,2,20,7,1,0
133,1,1,0,16,96, ,1,1,51,5,1,0
134,1,1,1,20,187.5, ,0,1,31,1,1,0
135,1,1,0,16,96, ,1,1,27,3,1,0
136,1,1,1,20,187.5, ,0,1,31,1,2,1
137,1,1,0,16,96, ,1,2,22,4,1,0
138,1,1,0,4.32,40.5, ,0,2,25,7,1,0
139,1,0, ,0,0, , ,2,25,1,5,1
140,1,0, ,0,0, , ,2,19,4,1,0
141,1,0, ,0,0, , ,2,58,4,1,0
142,1,1,0,16,150, ,0,1,27,3,1,0
143,1,1,0,12.09,113.34375, ,0,2,54,4,1,0
144,1,1,1,20,187.5, ,0,1,35,1,1,0
145,1,1,1,17.86,167.4375, ,0,1,61,4,3,1
146,1,0, ,0,0, , ,1,61,4,1,0
147,1,1,1,20,120, ,1,1,54,4,1,0
148,1,1,0,16,96, ,1,2,58,4,1,0
149,1,1,0,13.66,128.0625, ,0,2,54,4,1,0
150,2,1,1,20,187.5, ,0,1,53,4,1,0
151,1,1,0,16,96, ,1,1,21,3,1,0
152,1,0, ,0,0, , ,2,21,1,1,0
153,1,1,1,20,187.5, ,0,1,31,4,1,0
154,1,1,1,20,187.5, ,0,1,31,4,1,0
